iteration,mean_dist_to_conventional,mean_dist_to_unconventional,mean_delta,median_delta,centroid_unconventional_count,centroid_conventional_count,nn_unconventional_count,nn_conventional_count,prop_centroid_unconventional,prop_nn_unconventional
116,24.700237,25.358019,-0.6577805,-0.95163155,3,4,4,3,0.42857142857142855,0.5714285714285714
117,23.38232,23.63206,-0.24973843,0.0125694275,4,3,5,2,0.5714285714285714,0.7142857142857143
118,25.235813,25.590563,-0.35474667,-0.30914307,3,4,0,7,0.42857142857142855,0.0
119,25.420483,25.445719,-0.02523613,0.116415024,4,3,0,7,0.5714285714285714,0.0
120,24.510864,24.908113,-0.3972495,-0.61733055,2,5,3,4,0.2857142857142857,0.42857142857142855
121,25.59788,25.910427,-0.31254658,-0.4960289,2,5,6,1,0.2857142857142857,0.8571428571428571
122,25.691921,25.666992,0.024928229,0.19423485,4,3,5,2,0.5714285714285714,0.7142857142857143
123,24.616165,26.402882,-1.7867154,-1.5308304,0,7,2,5,0.0,0.2857142857142857
124,26.297304,26.131037,0.16626795,-0.58506775,3,4,4,3,0.42857142857142855,0.5714285714285714
125,24.486723,25.994017,-1.5072918,-1.5704708,0,7,3,4,0.0,0.42857142857142855
126,24.755095,25.452011,-0.69691575,-0.8003807,0,7,1,6,0.0,0.14285714285714285
127,24.258755,25.262259,-1.0035063,-0.8120804,0,7,4,3,0.0,0.5714285714285714
128,24.601658,26.093557,-1.4918984,-1.057703,0,7,3,4,0.0,0.42857142857142855
129,23.970575,24.599638,-0.62906426,-0.86553764,0,7,4,3,0.0,0.5714285714285714
130,23.89115,25.172138,-1.2809865,-1.3513451,1,6,1,6,0.14285714285714285,0.14285714285714285
131,25.731993,27.78835,-2.056357,-2.165123,0,7,1,6,0.0,0.14285714285714285
132,23.536442,24.332201,-0.7957592,-0.57400894,0,7,5,2,0.0,0.7142857142857143
133,25.607924,25.961887,-0.3539644,-0.3350525,2,5,5,2,0.2857142857142857,0.7142857142857143
134,25.171633,25.918535,-0.74690276,-0.6828613,1,6,5,2,0.14285714285714285,0.7142857142857143
135,24.837307,25.636568,-0.7992649,-0.7998352,0,7,1,6,0.0,0.14285714285714285
136,25.573908,26.412598,-0.83869064,-0.8160305,0,7,1,6,0.0,0.14285714285714285
137,26.286348,25.761545,0.5248026,0.65701866,5,2,0,7,0.7142857142857143,0.0
138,25.367128,25.666058,-0.29892758,-0.45918846,2,5,5,2,0.2857142857142857,0.7142857142857143
139,25.927504,25.613302,0.3142019,0.64735603,5,2,4,3,0.7142857142857143,0.5714285714285714
140,26.20809,26.327585,-0.1194924,-0.035396576,2,5,5,2,0.2857142857142857,0.7142857142857143
141,24.741001,24.992329,-0.25132805,-0.31028175,2,5,0,7,0.2857142857142857,0.0
142,25.75597,25.737593,0.018379757,0.2900238,4,3,3,4,0.5714285714285714,0.42857142857142855
143,24.481688,26.262135,-1.7804492,-1.8081036,0,7,1,6,0.0,0.14285714285714285
144,24.128878,24.35723,-0.22835268,-0.5815754,3,4,5,2,0.42857142857142855,0.7142857142857143
145,25.66005,25.427507,0.23254095,0.20713425,4,3,4,3,0.5714285714285714,0.5714285714285714
146,22.81761,24.473843,-1.6562301,-1.3596172,0,7,1,6,0.0,0.14285714285714285
147,24.216808,24.135511,0.08129474,-0.026657104,3,4,3,4,0.42857142857142855,0.42857142857142855
148,23.888468,25.366232,-1.4777682,-1.6061001,0,7,2,5,0.0,0.2857142857142857
149,24.563925,24.991919,-0.42799404,-0.75419617,2,5,7,0,0.2857142857142857,1.0
150,23.77225,24.762114,-0.98986435,-1.0425892,1,6,1,6,0.14285714285714285,0.14285714285714285
151,23.824986,26.811947,-2.9869645,-3.916977,0,7,5,2,0.0,0.7142857142857143
152,23.792284,25.407686,-1.6154006,-2.1916294,0,7,0,7,0.0,0.0
153,24.799107,24.993845,-0.19473648,-0.3704052,1,6,7,0,0.14285714285714285,1.0
154,24.415829,24.86107,-0.44524193,-0.35325623,3,4,2,5,0.42857142857142855,0.2857142857142857
155,25.206911,25.824749,-0.6178376,-0.60580635,2,5,1,6,0.2857142857142857,0.14285714285714285
156,26.848541,26.78508,0.06345994,-0.0054244995,2,5,7,0,0.2857142857142857,1.0
157,24.035845,25.302767,-1.2669228,-1.3640175,0,7,4,3,0.0,0.5714285714285714
158,22.394938,23.629065,-1.2341292,-1.5464306,0,7,1,6,0.0,0.14285714285714285
159,25.328487,25.491575,-0.16308893,-0.20539856,3,4,3,4,0.42857142857142855,0.42857142857142855
160,24.942966,24.818254,0.12471199,0.03955269,5,2,5,2,0.7142857142857143,0.7142857142857143
161,24.480297,25.346952,-0.86665756,-1.0544338,0,7,1,6,0.0,0.14285714285714285
162,25.736416,25.538248,0.19816807,0.005836487,4,3,2,5,0.5714285714285714,0.2857142857142857
163,24.426615,24.898405,-0.47179112,-0.7713795,3,4,4,3,0.42857142857142855,0.5714285714285714
164,24.460085,24.344435,0.115648545,0.43293762,4,3,0,7,0.5714285714285714,0.0
165,24.184198,24.895092,-0.7108966,-0.6730728,2,5,4,3,0.2857142857142857,0.5714285714285714
166,23.533613,24.280392,-0.74677795,-0.41618347,0,7,4,3,0.0,0.5714285714285714
167,26.966518,27.362675,-0.39615875,-0.43505478,0,7,5,2,0.0,0.7142857142857143
168,24.763645,24.479864,0.2837816,0.061100006,5,2,3,4,0.7142857142857143,0.42857142857142855
169,23.730106,24.733704,-1.0035951,-0.96845055,0,7,6,1,0.0,0.8571428571428571
170,24.84424,25.76793,-0.9236905,-0.5379257,0,7,4,3,0.0,0.5714285714285714
171,24.38527,24.843187,-0.457916,-0.5501785,0,7,5,2,0.0,0.7142857142857143
172,25.792715,26.683393,-0.89067924,-0.7684479,0,7,1,6,0.0,0.14285714285714285
173,23.99635,24.208292,-0.21194158,0.21301079,4,3,4,3,0.5714285714285714,0.5714285714285714
174,25.539572,25.561674,-0.022101538,0.5557842,4,3,1,6,0.5714285714285714,0.14285714285714285
175,24.59503,24.566936,0.028093884,-0.060735703,2,5,0,7,0.2857142857142857,0.0
176,24.379992,25.266909,-0.8869152,-1.2478714,1,6,2,5,0.14285714285714285,0.2857142857142857
177,24.673748,25.504559,-0.83081084,-0.7717762,1,6,5,2,0.14285714285714285,0.7142857142857143
178,24.441378,23.660543,0.7808328,1.1318016,6,1,5,2,0.8571428571428571,0.7142857142857143
179,26.304043,26.553846,-0.24980709,-0.33369637,1,6,7,0,0.14285714285714285,1.0
180,25.41698,26.34608,-0.92909706,-0.8778763,0,7,5,2,0.0,0.7142857142857143
181,25.09696,25.553396,-0.4564337,-0.47369766,1,6,2,5,0.14285714285714285,0.2857142857142857
182,26.323244,26.37077,-0.04752622,0.15568352,5,2,5,2,0.7142857142857143,0.7142857142857143
183,25.445522,25.88146,-0.43593708,-0.15766335,1,6,6,1,0.14285714285714285,0.8571428571428571
184,24.616776,26.093918,-1.4771436,-1.0616856,0,7,4,3,0.0,0.5714285714285714
185,24.563375,25.188223,-0.62484825,0.008779526,5,2,2,5,0.7142857142857143,0.2857142857142857
186,23.904922,25.02841,-1.1234877,-1.3501415,1,6,0,7,0.14285714285714285,0.0
187,24.68352,24.24379,0.43972942,0.5038223,7,0,7,0,1.0,1.0
