failed_path,dist_to_conventional_centroid,dist_to_unconventional_centroid,delta_conv_minus_unconv,centroid_closer_to,nearest_group,iteration
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.150494,24.413303,-1.2628098,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.561226,25.378607,-0.8173809,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.150494,24.413303,-1.2628098,human_conventional,human_conventional,17
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.43362,24.923052,-2.4894314,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.815804,33.352245,-0.5364418,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.428175,27.03739,-4.609215,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,21.73411,24.91724,-3.1831303,human_conventional,human_conventional,18
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.26516,25.794004,-0.52884483,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,21.718578,23.772783,-2.054205,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.41716,32.582253,-0.16509247,human_conventional,human_unconventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.26516,25.794004,-0.52884483,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.055613,23.637766,-1.5821533,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.26516,25.794004,-0.52884483,human_conventional,human_conventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.41716,32.582253,-0.16509247,human_conventional,human_unconventional,19
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.915134,32.12152,0.79361343,human_unconventional,human_unconventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.299723,24.094948,0.20477486,human_unconventional,human_conventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.649712,22.7704,-0.120687485,human_conventional,human_conventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.445032,25.5171,-0.07206726,human_conventional,human_unconventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.602873,24.184784,0.4180889,human_unconventional,human_unconventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.89551,23.543528,-0.6480179,human_conventional,human_conventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.89551,23.543528,-0.6480179,human_conventional,human_conventional,20
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.208542,23.996649,0.21189308,human_unconventional,human_conventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.208542,23.996649,0.21189308,human_unconventional,human_conventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.208542,23.996649,0.21189308,human_unconventional,human_conventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.829485,23.185835,-0.35634995,human_conventional,human_conventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,23.047993,23.493656,-0.44566345,human_conventional,human_conventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.829485,23.185835,-0.35634995,human_conventional,human_conventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.176668,25.146143,-0.9694748,human_conventional,human_unconventional,21
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.510624,23.531761,-1.0211372,human_conventional,human_conventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,22.510624,23.531761,-1.0211372,human_conventional,human_conventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.649313,23.875147,0.7741661,human_unconventional,human_unconventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,26.41883,25.200035,1.2187958,human_unconventional,human_conventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.88389,23.193287,-1.3093967,human_conventional,human_conventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,21.88389,23.193287,-1.3093967,human_conventional,human_conventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,26.41883,25.200035,1.2187958,human_unconventional,human_conventional,22
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.973154,23.094707,0.8784466,human_unconventional,human_unconventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,24.03449,24.338577,-0.3040867,human_conventional,human_unconventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.747412,22.74386,0.0035514832,human_unconventional,human_unconventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.497353,32.381226,0.116127014,human_unconventional,human_conventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,22.15331,22.802002,-0.6486912,human_conventional,human_unconventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,24.391237,24.841764,-0.4505272,human_conventional,human_conventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,22.747412,22.74386,0.0035514832,human_unconventional,human_unconventional,23
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.180412,25.033258,0.14715385,human_unconventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.23116,24.352846,-0.121686935,human_conventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.180412,25.033258,0.14715385,human_unconventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,23.48366,24.276176,-0.7925167,human_conventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.15394,32.96483,-0.8108902,human_conventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,24.23116,24.352846,-0.121686935,human_conventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,32.15394,32.96483,-0.8108902,human_conventional,human_conventional,24
C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,33.144863,33.378136,-0.23327255,human_conventional,human_unconventional,25
C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,25.108147,26.13859,-1.0304432,human_conventional,human_conventional,25
C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,25.380224,25.84588,-0.46565628,human_conventional,human_conventional,25
